NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
SACKTIP,02_Sack Tip,SACK TIP STATION,13466-SACK TIP,1,1,,13502-008-A,,,,,,,,,,
,,FABRICATION SACK-TIP FRAME,13502-009-S210,1,2,,13502-008-A,,,,,,,,,,
,,FOOT PAD,107-708,4,3,,13502-008-A,,,,,,,,,,
,,FLOOR GUIDE OPP,107-710,2,4,,13502-008-A,,,,,,,,,,
,,FLOOR GUIDE,107-709,2,5,,13502-008-A,,,,,,,,,,
,,STARTER PANEL,RS-351-4782,1,6,,13502-008-A,,,,,,,,,,
,,OVERLOAD RELAY 0.54-.8A,RS-758-923,1,7,,13502-008-A,,,,,,,,,,
,,SACK TIP MOUNTING SPACER,107-711,4,8,,13502-008-A,,,,,,,,,,
,,SETSCREW M12X60LG ST STL,MF-SS-M12X60-SS,4,9,,13502-008-A,,,,,,,,,,
,,FLAT WASHER 12 DIA STAINLESS,MF-WF-12DIA-SS,4,10,,13502-008-A,,,,,,,,,,
,,SPRING WASHER 12 DIA ST.ST,MF-WS-12DIA-SS,4,11,,13502-008-A,,,,,,,,,,
,,SETSCREW M5X25LG ST STL,MF-SS-M5X25-SS,4,12,,13502-008-A,,,,,,,,,,
,,FLAT WASHER M5 STAINLESS,MF-WF-5DIA-SS,8,13,,13502-008-A,,,,,,,,,,
,,DOME NUT M5 ST STL,FD-M5-SS,4,14,,13502-008-A,,,,,,,1,FABRICATED BASE,1,17777/58
,,FLAT WASHER 8 DIA,MF-WF-8DIA-SS,20,15,,13502-008-A,,,,,,,2,UNDERPAN,1,L18588
,,SPRING WASHER 8 DIA,MF-WS-8DIA-SS,4,16,,13502-008-A,,,,,,,3,UNDERCLAMP WHITE HANDLE,4,27435
,,DOME NUT M8 ST STL,FD-M8-SS,16,17,,13502-008-A,,,,,,,4,FLAT GASKET,1,1347/6
,,SETSCREW M8X70LG ST STL,MF-SS-M8X70-SS,4,18,,13502-008-A,,,,,,,5,SUSPENSION MOUNTING,8,H5295
,,C'SK SCREW M8X25LG ST STL,MF-SK-M8X25-SS,12,19,,13502-008-A,,,,,,,6,EARTHING PLATE,2,16127
,,SEEFLEX 040E SLEEVE 250DIA X 200,BFM-20085,1,20,,13502-008-A,,,,,,,7,EARTHING BRAND,4,16324
,,FABRICATED BASE,17777/58,1,1,,17728-33707,,,,,,,8,VIBRATOR MOTOR DIP (50 Hz),1,H5730
,,UNDERPAN,L18588,1,2,,17728-33707,,,,,,,9,HEX.HD.BOLT M12X90 LG,4,H4006/90/K
,,UNDERCLAMP WHITE HANDLE,27435,4,3,,17728-33707,,,,,,,10,NYLON NUT M12,4,H3646/G
,,FLAT GASKET,1347/6,1,4,,17728-33707,,,,,,,11,FLAT WASHER D:12,8,H3710/G
,,SUSPENSION MOUNTING,H5295,8,5,,17728-33707,,,,,,,12,INTERNAL SHAKEPROOF WASHER D:12,4,H3785/G
,,EARTHING PLATE,16127,2,6,,17728-33707,,,,,,,13,HEX.HD.SCREW M10X16 LG,2,H3405/16/G
,,EARTHING BRAND,16324,4,7,,17728-33707,,,,,,,14,HEX.HD.SCREW M10X20 LG,2,H3405/20/G
,,VIBRATOR MOTOR DIP (50 Hz),H5730,1,8,,17728-33707,,,,,,,15,HEX.HD.SCREW M12X20 LG,4,H3406/20/G
,,HEX.HD.BOLT M12X90 LG,H4006/90/K,4,9,,17728-33707,,,,,,,16,CSK.SOC.HD.SCREW M10X25 LG,8,H3480/25/G
,,NYLON NUT M12,H3646/G,4,10,,17728-33707,,,,,,,17,NILOC NUT M10,2,H3645/G
,,FLAT WASHER D:12,H3710/G,8,11,,17728-33707,,,,,,,18,INTERNAL SHAKEPROOF WASHER M10,10,H3784/G
,,INTERNAL SHAKEPROOF WASHER D:12,H3785/G,4,12,,17728-33707,,,,,,,19,EARTH TAG,2,25432
,,HEX.HD.SCREW M10X16 LG,H3405/16/G,2,13,,17728-33707,,,,,,,20,EARTH CLIP - MESH FRAME,2,30358
,,HEX.HD.SCREW M10X20 LG,H3405/20/G,2,14,,17728-33707,,,,,,,21,,,
,,HEX.HD.SCREW M12X20 LG,H3406/20/G,4,15,,17728-33707,,,,,,,22,SPRING WASHER M12,4,H3735/G
,,CSK.SOC.HD.SCREW M10X25 LG,H3480/25/G,8,16,,17728-33707,,,,,,,23,DOME NUT,8,H3680/G
,,NILOC NUT M10,H3645/G,2,17,,17728-33707,,,,,,,24,LABEL,1,28006
,,INTERNAL SHAKEPROOF WASHER M10,H3784/G,10,18,,17728-33707,,,,,,,25,RIVET,2,H0979/08/B
,,EARTH TAG,25432,2,19,,17728-33707,,,,,,,26,SCO.SET SCREW M12X25 LG.,4,H3466/25/K
,,EARTH CLIP - MESH FRAME,30358,2,20,,17728-33707,,,,,,,27,LOCTITE,A/R,H3200/2
,,SPRING WASHER M12,H3735/G,4,22,,17728-33707,,,,,,,28,DUST HOOD,1,L21220
,,DOME NUT,H3680/G,8,23,,17728-33707,,,,,,,29,ANTI VIBRATION MOUNT,4,H1247
,,LABEL,28006,1,24,,17728-33707,,,,,,,30,HEX.HD.BOLT M12X60 LONG,4,H4006/60/G
,,RIVET,H0979/08/B,2,25,,17728-33707,,,,,,,31,,,
,,SCO.SET SCREW M12X25 LG.,H3466/25/K,4,26,,17728-33707,,,,,,,32,FLEXIBLE SLEEVE,1,17725
,,LOCTITE,H3200/2,A/R,27,,17728-33707,,,,,,,33,CLIP,2,17706
,,DUST HOOD,L21220,1,28,,17728-33707,,,,,,,34,SIEVE DECK,1,L19319
,,ANTI VIBRATION MOUNT,H1247,4,29,,17728-33707,,,,,,,35,MESH FRAME,1,16349/PH/MIC
,,HEX.HD.BOLT M12X60 LONG,H4006/60/G,4,30,,17728-33707,,,,,,,36,MAGNETIC SPARATOR,1,17321/PH
,,FLEXIBLE SLEEVE,17725,1,32,,17728-33707,,,,,,,37,GASKET-MESH FRAME,1,01176/5
,,CLIP,17706,2,33,,17728-33707,,,,,,,38,GASKET-BASE RIM SPACER,1,17324/2
,,SIEVE DECK,L19319,1,34,,17728-33707,,,,,,,39,C'SK HD.SCREW M4X10 LONG,2,H3506/10/G
,,MESH FRAME,16349/PH/MIC,1,35,,17728-33707,,,,,,,40,SLOTTED PAN HD.SCREW M6,6,H3443/10/G
,,MAGNETIC SPARATOR,17321/PH,1,36,,17728-33707,,,,,,,41,PLAIN WASHER D:6,6,H3706/G
,,GASKET-MESH FRAME,01176/5,1,37,,17728-33707,,,,,,,42,DOME NUT M6,6,H3678/G
,,GASKET-BASE RIM SPACER,17324/2,1,38,,17728-33707,,,,,,,,,,
,,C'SK HD.SCREW M4X10 LONG,H3506/10/G,2,39,,17728-33707,,,,,,,,,,
,,SLOTTED PAN HD.SCREW M6,H3443/10/G,6,40,,17728-33707,,,,,,,,,,
,,PLAIN WASHER D:6,H3706/G,6,41,,17728-33707,,,,,,,,,,
,,DOME NUT M6,H3678/G,6,42,,17728-33707,,,,,,,,,,
,04_Fill-Chute,FAB: FILL HEAD WITH INFEED,13502-038,1,1,,13502-021-A,,,,,,,,,,
,,INFEED SEAL,11913-088,1,2,,13502-021-A,,,,,,,,,,
,,CLAMPING CAP,11913-090,1,3,,13502-021-A,,,,,,,,,,
,,"1"" OR 1 1/2"" TRI-CLAMP",CL-SH-0100,1,4,,13502-021-A,,,,,,,,,,
,,FAB: FILL UNIT TOP SPIGOT,13502-023,1,5,,13502-021-A,,,,,,,,,,
,,COILED EARTH CABLE,107-697,1,6,,13502-021-A,,,,,,,,,,
,,FULL NUT M6x1,MF-NF-M6-SS,2,7,,13502-021-A,,,,,,,,,,
,,SEEFLEX 040E SLEEVE 250DIA X 350,BFM-040E-250-350,1,8,,13502-021-A,,,,,,,,,,
,,FAB: MAIN CHUTE (SACK TIP),13502-026,1,1,,13502-027-A,,,,,,,,,,
,,FAB: TRANS CHUTE (SACK TIP),13502-037,1,2,,13502-027-A,,,,,,,,,,
,,QUICK CONNECT PULL RING 250DIA,12253903,1,3,,13502-027-A,,,,,,,,,,
,,PULL RING 250 DIA,12253383,1,4,,13502-027-A,,,,,,,,,,
,,SEAL KELTAN (EPDM) DN250 2mm,102589525,2,5,,13502-027-A,,,,,,,,,,
,,SUPPORT BLOCK DETAIL,11825-053,3,6,,13502-027-A,,,,,,,,,,
,,SETSCREW M10X50LG ST STL,MF-SS-M10X50-SS,3,7,,13502-027-A,,,,,,,,,,
,,LOCK NUT M12 ST STL,MF-NL-M12-SS,3,8,,13502-027-A,,,,,,,,,,
,,C'SK SCREW M12X70LG ST STL,MF-SK-M12X70-SS,3,9,,13502-027-A,,,,,,,,,,
,,C'SK SCREW M12X35LG ST STL,MF-SK-M12X35-SS,3,10,,13502-027-A,,,,,,,,,,
,,DOME NUT M12 ST STL,FD-M12-SS,6,11,,13502-027-A,,,,,,,,,,
,,FLAT WASHER 12 DIA STAINLESS,MF-WF-12DIA-SS,6,12,,13502-027-A,,,,,,,,,,
,05_Liquid Add Stand,FAB: CONTAINER SUPPORT FRAME,11913-021,1,1,,11943-017-B,,,,,,,,,,
